country,pdf_name,path,link
Greece,E%CE%9D-NATIONAL-CYBER-SECURITY-STRATEGY-2020_2025.pdf,Greece/E%CE%9D-NATIONAL-CYBER-SECURITY-STRATEGY-2020_2025.pdf,https://mindigital.gr/wp-content/uploads/2022/11/E%CE%9D-NATIONAL-CYBER-SECURITY-STRATEGY-2020_2025.pdf

Greece,Cybersecurity-Handbook-English-version.pdf,Greece/Cybersecurity-Handbook-English-version.pdf,https://mindigital.gr/wp-content/uploads/2022/09/Cybersecurity-Handbook-English-version.pdf

Hungary,Strategy-for-the-security-of-network-and-information-systems-in-Hungary.pdf,Hungary/Strategy-for-the-security-of-network-and-information-systems-in-Hungary.pdf,https://nki.gov.hu/wp-content/uploads/2020/11/Strategy-for-the-security-of-network-and-information-systems-in-Hungary.pdf

Hungary,CS_organisation_HUNGARY_2015-10-12.pdf,Hungary/CS_organisation_HUNGARY_2015-10-12.pdf,https://ccdcoe.org/uploads/2018/10/CS_organisation_HUNGARY_2015-10-12.pdf

Iceland,220_ncss_web_0.pdf,Iceland/220_ncss_web_0.pdf,https://static.rusi.org/220_ncss_web_0.pdf

Ireland,National_Cyber_Security_Strategy.pdf,Ireland/National_Cyber_Security_Strategy.pdf,https://www.ncsc.gov.ie/pdfs/National_Cyber_Security_Strategy.pdf

Ireland,Guidelines_on_Cyber_Security_Specifications.pdf,Ireland/Guidelines_on_Cyber_Security_Specifications.pdf,https://www.ncsc.gov.ie/pdfs/Guidelines_on_Cyber_Security_Specifications.pdf

Ireland,Cyber_Security_Baseline_Standards_Rev_1_2022_Final.pdf,Ireland/Cyber_Security_Baseline_Standards_Rev_1_2022_Final.pdf,https://www.ncsc.gov.ie/pdfs/Cyber_Security_Baseline_Standards_Rev_1_2022_Final.pdf

Ireland,NIS_Compliance_Security_Guidelines_for_OES.pdf,Ireland/NIS_Compliance_Security_Guidelines_for_OES.pdf,https://www.ncsc.gov.ie/pdfs/NIS_Compliance_Security_Guidelines_for_OES.pdf

Ireland,National-Cyber-Security-Strategy-2019-2024.pdf,Ireland/National-Cyber-Security-Strategy-2019-2024.pdf,https://www.skillnetireland.ie/wp-content/uploads/2020/01/National-Cyber-Security-Strategy-2019-2024.pdf

Ireland,a7e47530-622e-4a18-a080-bbaccfb05b33.pdf,Ireland/a7e47530-622e-4a18-a080-bbaccfb05b33.pdf,https://assets.gov.ie/242165/a7e47530-622e-4a18-a080-bbaccfb05b33.pdf

Ireland,IrishAid_AR_2021_WEB_V5-FA.pdf,Ireland/IrishAid_AR_2021_WEB_V5-FA.pdf,https://irishaid.ie/media/irishaid/IrishAid_AR_2021_WEB_V5-FA.pdf

Ireland,356d743c-b154-4a5f-b7ae-eb6714c2d011.pdf,Ireland/356d743c-b154-4a5f-b7ae-eb6714c2d011.pdf,https://assets.gov.ie/261971/356d743c-b154-4a5f-b7ae-eb6714c2d011.pdf

Israel,Israel%20International%20Cyber%20Strategy.pdf,Israel/Israel%20International%20Cyber%20Strategy.pdf,https://www.gov.il/BlobFolder/news/international_strategy/en/Israel%20International%20Cyber%20Strategy.pdf

Italy,ACN_EN_Strategia.pdf,Italy/ACN_EN_Strategia.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/ACN_EN_Strategia.pdf

Italy,three_year_plan_for_it_in_public_administration_2019-2021.pdf,Italy/three_year_plan_for_it_in_public_administration_2019-2021.pdf,https://www.agid.gov.it/sites/default/files/repository_files/three_year_plan_for_it_in_public_administration_2019-2021.pdf

Italy,2022%20National%20Trade%20Estimate%20Report%20on%20Foreign%20Trade%20Barriers.pdf,Italy/2022%20National%20Trade%20Estimate%20Report%20on%20Foreign%20Trade%20Barriers.pdf,https://ustr.gov/sites/default/files/2022%20National%20Trade%20Estimate%20Report%20on%20Foreign%20Trade%20Barriers.pdf

Japan,nss-e.pdf,Japan/nss-e.pdf,https://www.cas.go.jp/jp/siryou/221216anzenhoshou/nss-e.pdf

South Korea,202108-KoreanWayWithData_final5.pdf,South_Korea/202108-KoreanWayWithData_final5.pdf,https://carnegieendowment.org/files/202108-KoreanWayWithData_final5.pdf

Lithuania,Lithuania_Cyber-Security-Strategy-2018_English.pdf,Lithuania/Lithuania_Cyber-Security-Strategy-2018_English.pdf,https://ccdcoe.org/uploads/2018/10/Lithuania_Cyber-Security-Strategy-2018_English.pdf

Luxembourg,CYBERLUX_Legal_Notice.pdf,Luxembourg/CYBERLUX_Legal_Notice.pdf,https://api.cybersecurity.lu/public/get_public_document/CYBERLUX_Legal_Notice.pdf

Luxembourg,national-cybersecurity-strategy-iii-en-.pdf,Luxembourg/national-cybersecurity-strategy-iii-en-.pdf,https://hcpn.gouvernement.lu/dam-assets/fr/publications/brochure-livre/national-cybersecurity-strategy-3/national-cybersecurity-strategy-iii-en-.pdf

Luxembourg,NCS_organisation_LUX-2021-FINAL.pdf,Luxembourg/NCS_organisation_LUX-2021-FINAL.pdf,https://ccdcoe.org/uploads/2021/05/NCS_organisation_LUX-2021-FINAL.pdf

Luxembourg,National-Cybersecurity-Strategy-IV.pdf,Luxembourg/National-Cybersecurity-Strategy-IV.pdf,https://infocrise.public.lu/dam-assets/publications/cyber/National-Cybersecurity-Strategy-IV.pdf

Latvia,whitepaperondefence2011_2-1.pdf,Latvia/whitepaperondefence2011_2-1.pdf,https://ccdcoe.org/uploads/2018/10/whitepaperondefence2011_2-1.pdf

Latvia,CS_organisation_CZE-3.pdf,Latvia/CS_organisation_CZE-3.pdf,https://ccdcoe.org/uploads/2018/10/CS_organisation_CZE-3.0_Revised_TJ_Final_PDF.pdf

Latvia,CS_organisation_ESTONIA_032015_1-1.pdf,Latvia/CS_organisation_ESTONIA_032015_1-1.pdf,https://ccdcoe.org/uploads/2018/10/CS_organisation_ESTONIA_032015_1-1.pdf

Latvia,CS_organisation_SLOVAKIA_042015-2.pdf,Latvia/CS_organisation_SLOVAKIA_042015-2.pdf,https://ccdcoe.org/uploads/2018/10/CS_organisation_SLOVAKIA_042015-2.pdf

Mexico,quo_vadis_mexicos_cybersecurity_strategy.pdf,Mexico/quo_vadis_mexicos_cybersecurity_strategy.pdf,https://www.wilsoncenter.org/sites/default/files/media/documents/publication/quo_vadis_mexicos_cybersecurity_strategy.pdf

Mexico,ENCS.pdf,Mexico/ENCS.pdf,https://www.gob.mx/cms/uploads/attachment/file/399655/ENCS.ENG.final.pdf

Netherlands,2023-HSD-rapport-human-capital-final-totaal-interactief-final.pdf,Netherlands/2023-HSD-rapport-human-capital-final-totaal-interactief-final.pdf,https://securitydelta.nl/media/com_hsd/report/617/document/2023-HSD-rapport-human-capital-final-totaal-interactief-final.pdf

Netherlands,National-Cyber-Security-Agenda.pdf,Netherlands/National-Cyber-Security-Agenda.pdf,https://english.ncsc.nl/binaries/ncsc-en/documenten/publications/2019/juni/01/national-cyber-security-agenda/National-Cyber-Security-Agenda.pdf

Netherlands,Security+Strategy+for+the+Kingdom+of+the+Netherlands.pdf,Netherlands/Security+Strategy+for+the+Kingdom+of+the+Netherlands.pdf,https://www.government.nl/binaries/government/documenten/publications/2023/04/03/security-strategy-for-the-kingdom-of-the-netherlands/Security+Strategy+for+the+Kingdom+of+the+Netherlands.pdf

Netherlands,NCSS2Engelseversie.pdf,Netherlands/NCSS2Engelseversie.pdf,https://www.enisa.europa.eu/topics/national-cyber-security-strategies/ncss-map/NCSS2Engelseversie.pdf

New Zealand,nzcss-action-plan-annual-report-2016.pdf,New_Zealand/nzcss-action-plan-annual-report-2016.pdf,https://www.dpmc.govt.nz/sites/default/files/2017-06/nzcss-action-plan-annual-report-2016.pdf

New Zealand,nz-cyber-security-strategy-december-2015.pdf,New_Zealand/nz-cyber-security-strategy-december-2015.pdf,https://www.dpmc.govt.nz/sites/default/files/2017-03/nz-cyber-security-strategy-december-2015.pdf

New Zealand,Cyber%20Security%20Strategy.pdf,New_Zealand/Cyber%20Security%20Strategy.pdf,https://www.dpmc.govt.nz/sites/default/files/2019-07/Cyber%20Security%20Strategy.pdf

Norway,national-cyber-security-strategy-for-norway.pdf,Norway/national-cyber-security-strategy-for-norway.pdf,https://www.regjeringen.no/contentassets/c57a0733652f47688294934ffd93fc53/national-cyber-security-strategy-for-norway.pdf

Poland,csec2017.pdf,Poland/csec2017.pdf,https://www.acm.org/binaries/content/assets/education/curricula-recommendations/csec2017.pdf

Poland,NCSO_Poland_2017.pdf,Poland/NCSO_Poland_2017.pdf,https://ccdcoe.org/uploads/2018/10/NCSO_Poland_2017.pdf

Poland,Cybersecuritystrategy_PL.pdf,Poland/Cybersecuritystrategy_PL.pdf,https://www.enisa.europa.eu/topics/national-cyber-security-strategies/ncss-map/Cybersecuritystrategy_PL.pdf

Portugal,portugal-ncss-2019-2023-en-2.pdf,Portugal/portugal-ncss-2019-2023-en-2.pdf,https://cncs.gov.pt/docs/portugal-ncss-2019-2023-en-2.pdf

Slovenia,Cyber_Security_Strategy_Slovenia.pdf,Slovenia/Cyber_Security_Strategy_Slovenia.pdf,https://www.gov.si/assets/ministrstva/MJU/DID/Cyber_Security_Strategy_Slovenia.pdf

Slovenia,Slovenia_country_report_final_for_publication_August_2021.pdf,Slovenia/Slovenia_country_report_final_for_publication_August_2021.pdf,https://ccdcoe.org/uploads/2021/08/Slovenia_country_report_final_for_publication_August_2021.pdf

Slovakia,SDT-English-Version-FINAL.pdf,Slovakia/SDT-English-Version-FINAL.pdf,https://www.mirri.gov.sk/wp-content/uploads/2019/10/SDT-English-Version-FINAL.pdf

Slovakia,CRIndex2.pdf,Slovakia/CRIndex2.pdf,https://potomacinstitute.org/images/CRIndex2.0.pdf

Spain,file.pdf,Spain/file.pdf,https://www.ccn-cert.cni.es/pdf/documentos-publicos/4131-memoria-de-actividad-2017-2018-version-paginas-enfrentadas/file.html

Spain,file.pdf,Spain/file.pdf,https://www.ccn-cert.cni.es/pdf/documentos-publicos/4134-memoria-de-actividad-2017-2018-version-imprimible/file.html

Spain,CS_organisation_SPAIN_092016.pdf,Spain/CS_organisation_SPAIN_092016.pdf,https://ccdcoe.org/uploads/2018/10/CS_organisation_SPAIN_092016.pdf

Sweden,2021NTE.pdf,Sweden/2021NTE.pdf,https://ustr.gov/sites/default/files/files/reports/2021/2021NTE.pdf

Turkey,TUR_country_report_final_clean_ver_2408.pdf,Turkey/TUR_country_report_final_clean_ver_2408.pdf,https://ccdcoe.org/uploads/2021/08/TUR_country_report_final_clean_ver_2408.pdf

Turkey,TUR_country-report_final-ver-for-publication_August-2021.pdf,Turkey/TUR_country-report_final-ver-for-publication_August-2021.pdf,https://ccdcoe.org/uploads/2018/10/TUR_country-report_final-ver-for-publication_August-2021.pdf

United Kingdom,national-cyber-strategy-amend.pdf,United_Kingdom/national-cyber-strategy-amend.pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1053023/national-cyber-strategy-amend.pdf

United Kingdom,Impact_of_GDPR_on_cyber_security_outcomes.pdf,United_Kingdom/Impact_of_GDPR_on_cyber_security_outcomes.pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/906691/Impact_of_GDPR_on_cyber_security_outcomes.pdf

United Kingdom,uk-innovation-strategy.pdf,United_Kingdom/uk-innovation-strategy.pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1009577/uk-innovation-strategy.pdf

United Kingdom,Cyber_Security_Breaches_Survey_2021_Statistical_Release.pdf,United_Kingdom/Cyber_Security_Breaches_Survey_2021_Statistical_Release.pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/972399/Cyber_Security_Breaches_Survey_2021_Statistical_Release.pdf

United Kingdom,CCS207_CCS0320329850-001_Network_and_Information_Systems_Regulations_Post-Implementation_Review_Web_V2.pdf,United_Kingdom/CCS207_CCS0320329850-001_Network_and_Information_Systems_Regulations_Post-Implementation_Review_Web_V2.pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/960574/CCS207_CCS0320329850-001_Network_and_Information_Systems_Regulations_Post-Implementation_Review_Web_V2.pdf

United Kingdom,UK_Cyber_Sectoral_Analysis__2020__Report_V2.pdf,United_Kingdom/UK_Cyber_Sectoral_Analysis__2020__Report_V2.pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/957960/UK_Cyber_Sectoral_Analysis__2020__Report_V2.pdf

Brazil,SP-54_Cybersecurity-in-Brazil.pdf,Brazil/SP-54_Cybersecurity-in-Brazil.pdf,https://igarape.org.br/wp-content/uploads/2021/04/SP-54_Cybersecurity-in-Brazil.pdf
China,Chinas_Cybersecurity_Law_One_Year_On.pdf,China/Chinas_Cybersecurity_Law_One_Year_On.pdf,https://newamerica.org/documents/2036/Chinas_Cybersecurity_Law_One_Year_On.pdf
China,CS_organisation_CHINA_092016_FINAL.pdf,China/CS_organisation_CHINA_092016_FINAL.pdf,https://ccdcoe.org/uploads/2018/10/CS_organisation_CHINA_092016_FINAL.pdf
China,Cyber-030.pdf,China/Cyber-030.pdf,http://nsarchive.gwu.edu/NSAEBB/NSAEBB424/docs/Cyber-030.pdf
India,IT_Policy_2015.pdf,India/IT_Policy_2015.pdf,http://risl.rajasthan.gov.in/wp-content/uploads/2015/11/IT_Policy_2015.pdf
India,National-Cyber-Security-Strategy-2020-DSCI-submission.pdf,India/National-Cyber-Security-Strategy-2020-DSCI-submission.pdf,https://www.dsci.in/files/content/knowledge-centre/2023/National-Cyber-Security-Strategy-2020-DSCI-submission.pdf
